,user_id,comments,CPD,CB,EWC,Exec,FWE,SP,RE,Sup,SW,TEPE,VMG,OTH
0,192533-510208,"There is still a great deal of work that needs to be done on work place discrimination / harassment.  Since the last survey it only seems to have become worse.  Inappropriate comments regarding a person's ethnicity, sexual orientation, and mental health unfortunately exist in many work units.",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,194928-269718,"""Collaborative approach within branch or organization will lead more streamlined, quick and meaningful outcomes. Seems duplication of efforts among various branch and various ministries within BCPS. Streamlining efforts is necessary.""",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
2,188273-537556,"Permit more flexible working arrangements: four-day work weeks, working from home some days, more part-time positions for those who wish to work part-time…",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,191868-457482,"...In spite of air purifiers throughout the office, I still feel that we do not work in a healthy building. Eye and respiratory problems plague us regularly.",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
4,193216-467678,"""It is unethical and exploitative to keep bringing the same long-term auxiliaries on as employees for an indefinite amount of years, sometimes decades, without any clear path or expectation toward regular employment status.  I have seen this happen for years and it continues to be a problem in the Ministry of Forests...""",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,180999-599664,I feel the one thing that we have been challenged with is the freedom to be able to hire staff to support the increase in workloads. We want to support our staff and develop them to move forward in their career's but it is difficult (at least in my area) to hire. Each time we have a vacancy we need to appeal to fill it with justification. I understand we need to be prudent in our hiring decisions but as managers… there should be some delegation to that person to hire staff. I feel an escalated process fits when the FTE is unfunded but having to continuously put up requests for funded positions is difficult and does not help overall staff morale. It also impacts workflows and work life balance.,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
6,194148-735144,There should be less political influence in my organization. There should be set policy relating to the relationship between ministry staff and GCPE and work prioritization.,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
7,186539-490228,"""We have been asking for 10  years and 4 wes surveys to tell the employer we are so underpaid and under valued and can not continue to support our families with the low pay and minimal benefits. """,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,192081-822348,"Significant increases in wages. Our wages compared to similar other professions are significantly lower, which contributes to staff leaving faster than the branch can hire replacements. We are currently working with bare minimum staffing levels, which leads to staff being over-worked while feeling under-paid. This affects morale, sick time, and overall job satisfaction.",-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
9,191815-014534,"…Transition with the new government has been very challenging.  Executive has not adequately defined priorities and aligned the structure and support with appropriate staff resources.  As a result there is a sense of frustration, over-load of work and while there have been moments of recognition, my perception is they are insincere.   Lots of talk about workplace engagement at many levels yet seems to be little or slow responses to the input provided by others.",-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
10,189986-424732,Supporting requests for improvements to public facing and internal government online systems. It is frustrating that there are so many operational barriers to seeking to improve systems that would benefit the citizens of B.C. as users and would assist B.C. Public Servants to be more effective in their roles.,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
11,176360-371980,"""I am an auxiliary employee.  I feel there are far too many of us. There have been auxiliary positions in my unit for a while. I have seen this in many areas…""",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
12,183786-635838,"""The province and my organization need to figure out what strategies are going to be employed with regards to First Nation rights and title and implementation of UNDRIP.  Most of our program's stress and workload is the result of unclear or unfulfilled expectations of our local FN's...""",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
13,187873-664940,"Secure reliable funding for ongoing programs, rather than having to do business development off the side of our desks.",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
14,194981-712666,"""Pair people up from outside of their work unit to encourage cross unit connection.""",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
15,193475-001330,"There is support for training in concept but limited time to actually go to  training...Even an active encouragement of a mentoring program to find out what occurs in different ministries, and how training could lead to different career paths, might be another way to support resiliency and engagement.  This might exist already but I think it needs to be formalized strongly to be effective.",0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
16,193842-184224,"Refresh technology and address serious facilities issues. The computer equipment available to us is dated, slow, and prone to glitches which create delays. The facility itself has significant issues which impact comfort and safety… Better equipment and facilities would allow me to be more effective in my work.",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0
17,190424-412750,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,181910-435694,Increase salary levels across the board to remain a competitive employer.,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
19,189043-712832,"""Improve the open office environment. You can't take a single call or make one without everyone hearing. You can't talk to people (have to find a quiet room). Space for working in some cases is very narrow/small.""",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0
20,194001-699216,"More growth and opportunities for advancement within the work unit and Ministry. As well, more opportunities for job swaps/exchanges between ministries as well as public sector organizations.",0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
21,185684-538702,"A clear idea of what it is that we are trying to accomplish.   A clear concise mission statement of what it is we are trying to do, how we are going to do it and the qualitative measurement to say that we are hitting those milestones. There is too much 'ethereal ideas' passed around as hard solid things we are doing, how we are going to do it.   I have no idea how the work I do day to day fits into the 'mission statement' of my ministry.  As the mission statement is so vague that no one can really tell us what it actually means.",-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
22,183918-479862,Allow more freedom on using new tools/equipment to do our work. Allow employees to customize their equipment requirements as they have the best knowledge of the tools/equipment to do their jobs.,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0
