sort,original_column_name,new_column_name,survey_year,Question_ID,category,sub_category,engagement_calculation,subtheme_code,Label
1,USERID,USERID,ALL,,BC Stats Background,Survey Info,,,USER ID
2,USERID_check,USERID_check,ALL,,Exclude,Survey Info,,,Copy of USERID to check after sorting dataset
3,POPULATION07,POPULATION,2007,,Exclude,Survey Info,,,Population 2007 (overall population of 2007 respondents)
4,BCPUBLICSERVICE07,BCPUBLICSERVICE,2007,,Exclude,Survey Info,,,BC Public Service 2007 (population of respondents who were in BC Public Service in 2007)
5,COMPLETED07,COMPLETED,2007,,Exclude,Survey Info,,,Completed Survey 2007 (population of respondents who completed the 2007 WES)
6,OVERALLSCOPE07,OVERALLSCOPE,2007,,Exclude,Survey Info,,,Overall Scope 2007 (population of 2007 respondents who completed the survey and were in the BC Public Service)
7,POPULATION08,POPULATION,2008,,Exclude,Survey Info,,,Population 2008 (overall population of 2008 respondents)
8,BCPUBLICSERVICE08,BCPUBLICSERVICE,2008,,Exclude,Survey Info,,,BC Public Service 2008 (population of respondents who were in BC Public Service in 2008)
9,COMPLETED08,COMPLETED,2008,,Exclude,Survey Info,,,Completed Survey 2008 (population of respondents who completed the 2008 WES)
10,OVERALLSCOPE08,OVERALLSCOPE,2008,,Exclude,Survey Info,,,Overall Scope 2008 (population of 2008 respondents who completed the survey and were in the BC Public Service)
11,POPULATION09,POPULATION,2009,,Exclude,Survey Info,,,Population 2009 (overall population of 2009 respondents)
12,BCPUBLICSERVICE09,BCPUBLICSERVICE,2009,,Exclude,Survey Info,,,BC Public Service 2009 (population of respondents who were in BC Public Service in 2009)
13,COMPLETED09,COMPLETED,2009,,Exclude,Survey Info,,,Completed Survey 2009 (population of respondents who completed the 2009 WES)
14,OVERALLSCOPE09,OVERALLSCOPE,2009,,Exclude,Survey Info,,,Overall Scope 2009 (population of 2009 respondents who completed the survey and were in the BC Public Service)
15,POPULATION10,POPULATION,2010,,Exclude,Survey Info,,,Population 2010 (overall population of 2010 respondents)
